Date,Open,High,Low,Vol.,Change %,Price
12/21/2022,1827.90,1833.80,1821.30,110.18K,0.00%,1825.4
12/20/2022,1796.80,1832.40,1793.70,197.50K,1.54%,1825.4
12/19/2022,1801.60,1808.60,1793.20,86.09K,-0.14%,1797.7
12/16/2022,1786.90,1804.20,1783.90,128.75K,0.69%,1800.2
12/15/2022,1818.70,1819.70,1782.00,185.32K,-1.70%,1787.8
12/14/2022,1822.60,1825.40,1806.20,143.80K,-0.37%,1818.7
12/13/2022,1792.30,1836.90,1791.80,230.91K,1.85%,1825.5
12/12/2022,1808.00,1809.30,1789.00,107.78K,-1.02%,1792.3
12/9/2022,1801.90,1819.00,1800.10,150.94K,0.51%,1810.7
12/8/2022,1799.50,1806.90,1793.20,116.27K,0.19%,1801.5
12/7/2022,1783.30,1803.20,1780.50,155.57K,0.88%,1798
12/6/2022,1780.80,1793.20,1779.10,127.86K,0.06%,1782.4
12/5/2022,1810.50,1822.90,1778.10,179.82K,-1.56%,1781.3
12/2/2022,1817.00,1818.70,1791.80,183.72K,-0.31%,1809.6
12/1/2022,1783.10,1818.40,1782.90,226.15K,3.14%,1815.2
11/30/2022,1763.40,1784.20,1758.20,192.24K,-0.22%,1759.9
11/29/2022,1754.60,1773.40,1752.90,127.32K,1.34%,1763.7
11/28/2022,1755.00,1763.50,1738.20,132.77K,-0.78%,1740.3
11/25/2022,1751.00,1761.20,1745.90,134.30K,0.00%,1754
11/24/2022,1751.00,1761.20,1745.90,134.30K,0.48%,1754
11/23/2022,1740.80,1754.90,1719.00,167.77K,0.33%,1745.6
11/22/2022,1739.70,1751.00,1737.60,153.09K,0.02%,1739.9
11/21/2022,1752.00,1755.00,1733.90,166.08K,-0.84%,1739.6
11/18/2022,1763.10,1769.90,1749.20,137.33K,-0.49%,1754.4
11/17/2022,1777.00,1777.60,1756.60,169.10K,-0.72%,1763
11/16/2022,1782.00,1788.20,1773.40,200.76K,-0.06%,1775.8
11/15/2022,1774.00,1791.80,1770.20,283.02K,-0.01%,1776.8
11/14/2022,1769.40,1778.40,1755.80,191.35K,0.42%,1776.9
11/11/2022,1758.30,1775.60,1750.30,227.04K,0.90%,1769.4
11/10/2022,1709.70,1760.60,1705.50,305.72K,2.33%,1753.7
11/9/2022,1715.20,1725.80,1705.10,239.65K,-0.13%,1713.7
11/8/2022,1678.00,1720.40,1667.10,297.62K,2.11%,1716
11/7/2022,1678.60,1685.60,1670.00,187.59K,0.23%,1680.5
11/4/2022,1631.70,1686.40,1631.10,293.52K,2.80%,1676.6
11/3/2022,1639.10,1643.20,1618.30,254.70K,-1.16%,1630.9
11/2/2022,1651.40,1673.10,1637.40,220.93K,0.02%,1650
11/1/2022,1636.10,1660.30,1633.60,197.98K,0.55%,1649.7
10/31/2022,1647.20,1648.50,1634.50,128.41K,-0.25%,1640.7
10/28/2022,1667.20,1670.90,1640.70,196.36K,-1.25%,1644.8
10/27/2022,1668.80,1674.80,1658.50,189.29K,-0.22%,1665.6
10/26/2022,1657.70,1679.40,1653.80,186.93K,0.68%,1669.2
10/25/2022,1654.50,1666.80,1641.20,182.80K,0.24%,1658
10/24/2022,1662.90,1675.50,1648.00,171.02K,-0.13%,1654.1
10/21/2022,1632.40,1663.10,1621.10,271.10K,1.19%,1656.3
10/20/2022,1634.60,1650.30,1626.30,163.73K,0.16%,1636.8
10/19/2022,1657.20,1659.80,1632.20,179.25K,-1.30%,1634.2
10/18/2022,1655.90,1666.00,1650.60,163.17K,-0.49%,1655.8
10/17/2022,1649.90,1674.30,1649.10,148.89K,0.92%,1664
10/14/2022,1672.80,1677.80,1645.60,183.17K,-1.68%,1648.9
10/13/2022,1680.20,1688.90,1648.30,237.01K,-0.03%,1677
10/12/2022,1673.40,1685.10,1668.00,131.77K,-0.50%,1677.5
10/11/2022,1675.60,1691.30,1667.50,171.81K,0.64%,1686
10/10/2022,1703.40,1707.40,1672.50,157.15K,-1.99%,1675.2
10/7/2022,1721.00,1722.80,1698.40,157.45K,-0.67%,1709.3
10/6/2022,1725.50,1734.20,1714.80,139.44K,0.00%,1720.8
10/5/2022,1734.40,1736.60,1708.80,173.22K,-0.56%,1720.8
10/4/2022,1708.40,1738.70,1704.00,205.08K,1.67%,1730.5
10/3/2022,1670.50,1710.40,1666.50,215.49K,1.79%,1702
9/30/2022,1669.50,1684.40,1667.50,179.99K,0.20%,1672
9/29/2022,1669.00,1673.10,1649.30,201.96K,-0.08%,1668.6
9/28/2022,1636.50,1671.60,1622.20,279.82K,2.07%,1670
9/27/2022,1629.20,1650.10,1628.70,197.06K,0.17%,1636.2
9/26/2022,1651.00,1657.20,1627.70,219.86K,-1.34%,1633.4
9/23/2022,1680.10,1685.00,1646.60,243.05K,-1.52%,1655.6
9/22/2022,1682.80,1693.50,1663.30,241.28K,0.32%,1681.1
9/21/2022,1673.20,1696.90,1661.30,227.94K,0.28%,1675.7
9/20/2022,1684.90,1688.80,1668.10,143.93K,-0.42%,1671.1
9/19/2022,1685.40,1688.80,1667.60,141.17K,-0.31%,1678.2
9/16/2022,1673.70,1689.90,1661.90,217.23K,0.37%,1683.5
9/15/2022,1707.20,1707.80,1668.90,268.09K,-1.86%,1677.3
9/14/2022,1711.60,1717.30,1703.30,163.29K,-0.48%,1709.1
9/13/2022,1736.00,1742.90,1706.70,232.70K,-1.33%,1717.4
9/12/2022,1728.40,1746.40,1722.30,154.37K,0.69%,1740.6
9/9/2022,1719.60,1740.50,1719.40,154.71K,0.49%,1728.6
9/8/2022,1729.50,1739.40,1713.70,184.18K,-0.44%,1720.2
9/7/2022,1712.90,1731.20,1701.70,173.62K,1.17%,1727.8
9/6/2022,1719.70,1719.70,1714.20,0.02K,-0.29%,1707.9
9/5/2022,1724.20,1737.40,1710.60,206.27K,-0.33%,1712.9
9/4/2022,1723.60,1723.75,1718.65,,-0.23%,1718.65
9/2/2022,1707.80,1729.50,1705.90,174.68K,0.78%,1722.6
9/1/2022,1723.00,1723.00,1699.10,198.62K,-0.98%,1709.3
8/31/2022,1735.50,1738.00,1720.60,176.73K,-0.58%,1726.2
8/30/2022,1749.80,1752.80,1732.90,130.66K,-0.77%,1736.3
8/29/2022,1748.40,1757.90,1731.40,156.22K,-0.01%,1749.7
8/26/2022,1771.80,1772.30,1746.20,176.90K,-1.22%,1749.8
8/25/2022,1764.40,1778.80,1763.00,117.57K,0.56%,1771.4
8/24/2022,1761.30,1769.50,1754.80,112.65K,0.02%,1761.5
8/23/2022,1750.00,1767.50,1743.10,145.26K,0.73%,1761.2
8/22/2022,1760.60,1762.10,1740.20,142.86K,-0.82%,1748.4
8/19/2022,1773.10,1773.30,1759.10,138.70K,-0.47%,1762.9
8/18/2022,1777.10,1786.30,1768.80,124.32K,-0.31%,1771.2
8/17/2022,1790.80,1796.60,1773.90,137.83K,-0.73%,1776.7
8/16/2022,1795.50,1798.00,1785.40,94.40K,-0.47%,1789.7
8/15/2022,1818.90,1818.90,1787.60,137.77K,-0.96%,1798.1
8/12/2022,1805.20,1819.10,1799.60,118.65K,0.46%,1815.5
8/11/2022,1807.90,1814.90,1798.60,121.26K,-0.36%,1807.2
8/10/2022,1811.50,1824.60,1803.30,154.59K,0.08%,1813.7
8/9/2022,1805.50,1817.00,1799.40,120.51K,0.39%,1812.3
8/8/2022,1790.30,1806.40,1786.90,103.68K,0.78%,1805.2
8/5/2022,1807.70,1811.60,1780.20,168.90K,-0.87%,1791.2
8/4/2022,1782.10,1812.00,1779.40,153.29K,1.72%,1806.9
